,code,name,project_name,countryname
1306,8,Human development,Second Additional Financing Burundi Health Sector Development Support Project,Republic of Burundi
1307,8,Human development,Second Additional Financing Burundi Health Sector Development Support Project,Republic of Burundi
1308,8,Human development,Second Additional Financing Burundi Health Sector Development Support Project,Republic of Burundi
1309,10,Rural development,Accelerated Food Security Project Additional Financing,United Republic of Tanzania
1310,10,Rural development,Accelerated Food Security Project Additional Financing,United Republic of Tanzania
1311,10,Rural development,Tanzania: Third Additional Financing for Agricultural Sector Development Project,United Republic of Tanzania
1312,4,Financial and private sector development,Tanzania: Third Additional Financing for Agricultural Sector Development Project,United Republic of Tanzania
1313,8,Human development,Tanzania: Third Additional Financing for Agricultural Sector Development Project,United Republic of Tanzania
1314,10,Rural development,Tanzania: Third Additional Financing for Agricultural Sector Development Project,United Republic of Tanzania
1315,10,Rural development,Tanzania: Third Additional Financing for Agricultural Sector Development Project,United Republic of Tanzania
1316,3,Rule of law,"Community Peacebuilding Initiatives in Casamance, Senegal",Republic of Senegal
1317,7,Social dev/gender/inclusion,"Community Peacebuilding Initiatives in Casamance, Senegal",Republic of Senegal
1318,9,Urban development,Output-Based Aid for Municipal Solid Waste Management,Nepal
1319,5,,Output-Based Aid for Municipal Solid Waste Management,Nepal
1320,8,Human development,International Institute for Water and Environmental Engineering AF,Burkina Faso
1321,11,Environment and natural resources management,International Institute for Water and Environmental Engineering AF,Burkina Faso
1322,8,Human development,Ghana Partnership for Education,Republic of Ghana
1323,7,Social dev/gender/inclusion,Ghana Partnership for Education,Republic of Ghana
1324,11,Environment and natural resources management,Energy Sector Cleanup and Land Reclamation Trust Fund,Republic of Kosovo
1325,11,Environment and natural resources management,Energy Sector Cleanup and Land Reclamation Trust Fund,Republic of Kosovo
1326,8,Human development,Moroccan Association of Family Renaissance,Kingdom of Morocco
1327,7,Social dev/gender/inclusion,Moroccan Association of Family Renaissance,Kingdom of Morocco
1328,7,Social dev/gender/inclusion,Barefoot Engineers III,Republic of Indonesia
1329,4,,Barefoot Engineers III,Republic of Indonesia
1330,8,Human development,"An Innovative, Integrated Approach to Enhance Smallholder Family Nutrition",Republic of Uganda
1331,11,,"An Innovative, Integrated Approach to Enhance Smallholder Family Nutrition",Republic of Uganda
1332,10,Rural development,Remote Rural Communities Development Project,Kingdom of Bhutan
1333,10,Rural development,Remote Rural Communities Development Project,Kingdom of Bhutan
1334,7,Social dev/gender/inclusion,Remote Rural Communities Development Project,Kingdom of Bhutan
1335,10,Rural development,Remote Rural Communities Development Project,Kingdom of Bhutan
1336,10,Rural development,Remote Rural Communities Development Project,Kingdom of Bhutan
1337,4,Financial and private sector development,BT:  DPC 2,Kingdom of Bhutan
1338,2,Public sector governance,BT:  DPC 2,Kingdom of Bhutan
1339,4,Financial and private sector development,BT:  DPC 2,Kingdom of Bhutan
1340,6,Social protection and risk management,BT:  DPC 2,Kingdom of Bhutan
1341,6,Social protection and risk management,BT:  DPC 2,Kingdom of Bhutan
1342,9,Urban development,First Part of the Second Phase of the Niger Basin Water Resources Development and Sustainable Ecosystems Management Program - APL 2A,Africa
1343,11,Environment and natural resources management,First Part of the Second Phase of the Niger Basin Water Resources Development and Sustainable Ecosystems Management Program - APL 2A,Africa
1344,10,Rural development,First Part of the Second Phase of the Niger Basin Water Resources Development and Sustainable Ecosystems Management Program - APL 2A,Africa
1345,5,Trade and integration,First Part of the Second Phase of the Niger Basin Water Resources Development and Sustainable Ecosystems Management Program - APL 2A,Africa
1346,7,Social dev/gender/inclusion,BD: Reaching Out of School Children II,People's Republic of Bangladesh
1347,9,Urban development,BD: Reaching Out of School Children II,People's Republic of Bangladesh
1348,8,Human development,BD: Reaching Out of School Children II,People's Republic of Bangladesh
1349,7,Social dev/gender/inclusion,BD: Reaching Out of School Children II,People's Republic of Bangladesh
1350,8,Human development,Second Additional Financing for Third Partnership for Polio Eradication Project,Islamic Republic of Pakistan
1351,2,,Second Additional Financing for Third Partnership for Polio Eradication Project,Islamic Republic of Pakistan
1352,10,Rural development,India - Bihar Panchayat Strengthening Project,Republic of India
1353,2,Public sector governance,India - Bihar Panchayat Strengthening Project,Republic of India
1354,7,Social dev/gender/inclusion,India - Bihar Panchayat Strengthening Project,Republic of India
1355,8,Human development,India - Bihar Panchayat Strengthening Project,Republic of India
1356,2,Public sector governance,India - Bihar Panchayat Strengthening Project,Republic of India
1357,8,Human development,Costa Rica Higher Education,Republic of Costa Rica
1358,2,,Costa Rica Higher Education,Republic of Costa Rica
1359,8,Human development,Support to Uruguayan Public Schools Project,Oriental Republic of Uruguay
1360,11,,Support to Uruguayan Public Schools Project,Oriental Republic of Uruguay
1361,6,Social protection and risk management,Rebuilding Energy Infrastructure and Access,Republic of Haiti
1362,4,Financial and private sector development,Rebuilding Energy Infrastructure and Access,Republic of Haiti
1363,11,Environment and natural resources management,Rebuilding Energy Infrastructure and Access,Republic of Haiti
1364,10,Rural development,Rebuilding Energy Infrastructure and Access,Republic of Haiti
1365,6,Social protection and risk management,India:  Karnataka Health Systems Additional Financing,Republic of India
1366,8,Human development,India:  Karnataka Health Systems Additional Financing,Republic of India
1367,8,Human development,India:  Karnataka Health Systems Additional Financing,Republic of India
1368,8,Human development,India:  Karnataka Health Systems Additional Financing,Republic of India
1369,10,Rural development,AF Infrastructure & Institutions Emergency Recovery,Republic of Haiti
1370,2,Public sector governance,AF Infrastructure & Institutions Emergency Recovery,Republic of Haiti
1371,6,Social protection and risk management,AF Infrastructure & Institutions Emergency Recovery,Republic of Haiti
1372,5,Trade and integration,AF Infrastructure & Institutions Emergency Recovery,Republic of Haiti
1373,10,Rural development,AF - HP Mid-Himalayan Watershed Development Project,Republic of India
1374,10,Rural development,AF - HP Mid-Himalayan Watershed Development Project,Republic of India
1375,7,Social dev/gender/inclusion,AF - HP Mid-Himalayan Watershed Development Project,Republic of India
1376,11,Environment and natural resources management,AF - HP Mid-Himalayan Watershed Development Project,Republic of India
1377,8,Human development,First Programmatic Development Policy Loan,Republic of Guatemala
1378,2,Public sector governance,First Programmatic Development Policy Loan,Republic of Guatemala
1379,2,Public sector governance,First Programmatic Development Policy Loan,Republic of Guatemala
1380,7,Social dev/gender/inclusion,First Programmatic Development Policy Loan,Republic of Guatemala
1381,8,Human development,First Programmatic Development Policy Loan,Republic of Guatemala
1382,5,Trade and integration,NG-RURAL ACCESS & MOBILITY PROJECT-Phase 2,Federal Republic of Nigeria
1383,10,Rural development,NG-RURAL ACCESS & MOBILITY PROJECT-Phase 2,Federal Republic of Nigeria
1384,5,Trade and integration,Ethiopia-Transport Sector Project in Support of RSDP4,Federal Democratic Republic of Ethiopia
1385,4,Financial and private sector development,Ethiopia-Transport Sector Project in Support of RSDP4,Federal Democratic Republic of Ethiopia
1386,10,Rural development,Ethiopia-Transport Sector Project in Support of RSDP4,Federal Democratic Republic of Ethiopia
1387,11,Environment and natural resources management,Mineral Governance Support Project,Republic of Guinea
1388,2,Public sector governance,Mineral Governance Support Project,Republic of Guinea
1389,7,Social dev/gender/inclusion,Mineral Governance Support Project,Republic of Guinea
1390,11,Environment and natural resources management,Mineral Governance Support Project,Republic of Guinea
1391,2,Public sector governance,Ethiopia Promoting Basic Services Program Phase III Project,Federal Democratic Republic of Ethiopia
1392,6,Social protection and risk management,Ethiopia Promoting Basic Services Program Phase III Project,Federal Democratic Republic of Ethiopia
1393,10,Rural development,Ethiopia Promoting Basic Services Program Phase III Project,Federal Democratic Republic of Ethiopia
1394,7,Social dev/gender/inclusion,Ethiopia Promoting Basic Services Program Phase III Project,Federal Democratic Republic of Ethiopia
1395,2,Public sector governance,Ethiopia Promoting Basic Services Program Phase III Project,Federal Democratic Republic of Ethiopia
1396,5,Trade and integration,"BD:  Leveraging ICT Growth, Employment and Governance Project",People's Republic of Bangladesh
1397,8,Human development,"BD:  Leveraging ICT Growth, Employment and Governance Project",People's Republic of Bangladesh
1398,6,Social protection and risk management,"BD:  Leveraging ICT Growth, Employment and Governance Project",People's Republic of Bangladesh
1399,10,Rural development,Second Rural Transport Improvement Project,People's Republic of Bangladesh
1400,10,Rural development,Second Rural Transport Improvement Project,People's Republic of Bangladesh
1401,7,Social dev/gender/inclusion,Second Rural Transport Improvement Project,People's Republic of Bangladesh
1402,11,Environment and natural resources management,RUSSIA FOREST FIRE RESPONSE PROJECT,Russian Federation
1403,6,Social protection and risk management,RUSSIA FOREST FIRE RESPONSE PROJECT,Russian Federation
1404,11,Environment and natural resources management,RUSSIA FOREST FIRE RESPONSE PROJECT,Russian Federation
1405,7,Social dev/gender/inclusion,RUSSIA FOREST FIRE RESPONSE PROJECT,Russian Federation
1406,2,Public sector governance,RUSSIA FOREST FIRE RESPONSE PROJECT,Russian Federation
1407,2,Public sector governance,FIRST SUSTAINABILITY AND COMPETITVENESS DEVELOPMENT POLICY LOAN,Republic of Seychelles
1408,4,Financial and private sector development,FIRST SUSTAINABILITY AND COMPETITVENESS DEVELOPMENT POLICY LOAN,Republic of Seychelles
1409,2,Public sector governance,FIRST SUSTAINABILITY AND COMPETITVENESS DEVELOPMENT POLICY LOAN,Republic of Seychelles
1410,6,Social protection and risk management,FIRST SUSTAINABILITY AND COMPETITVENESS DEVELOPMENT POLICY LOAN,Republic of Seychelles
1411,3,Rule of law,FIRST SUSTAINABILITY AND COMPETITVENESS DEVELOPMENT POLICY LOAN,Republic of Seychelles
1412,5,Trade and integration,SECOND ROAD AND SAFETY IMPROVEMENT PROJECT,Ukraine
1413,4,Financial and private sector development,SECOND ROAD AND SAFETY IMPROVEMENT PROJECT,Ukraine
1414,11,,Export Finance Intermediation Loan Additional Financing,Republic of Croatia
1415,5,Trade and integration,Road Asset Management Project - Additional Financing,Republic of Liberia
1416,10,Rural development,Road Asset Management Project - Additional Financing,Republic of Liberia
1417,10,Rural development,Rural Electrification and Renewable Energy Development II (RERED II) Project,People's Republic of Bangladesh
1418,7,Social dev/gender/inclusion,Rural Electrification and Renewable Energy Development II (RERED II) Project,People's Republic of Bangladesh
1419,11,Environment and natural resources management,Rural Electrification and Renewable Energy Development II (RERED II) Project,People's Republic of Bangladesh
1420,7,Social dev/gender/inclusion,Rural Electrification and Renewable Energy Development II (RERED II) Project,People's Republic of Bangladesh
1421,11,Environment and natural resources management,Reports to Conventions - UNCCD - Armenia,Republic of Armenia
1422,11,,Reports to Conventions - UNCCD - Armenia,Republic of Armenia
1423,11,Environment and natural resources management,Land Degradation Enabling Activities - Albania,Republic of Albania
1424,4,,Land Degradation Enabling Activities - Albania,Republic of Albania
1425,9,Urban development,PK: Punjab Cities Governance Improvement,Islamic Republic of Pakistan
1426,9,Urban development,PK: Punjab Cities Governance Improvement,Islamic Republic of Pakistan
1427,4,Financial and private sector development,Indonesia Infrastructure Guarantee Fund Project,Republic of Indonesia
1428,9,Urban development,Indonesia Infrastructure Guarantee Fund Project,Republic of Indonesia
1429,10,Rural development,Distribution Efficiency Project,Socialist Republic of Vietnam
1430,8,,Distribution Efficiency Project,Socialist Republic of Vietnam
1431,4,Financial and private sector development,Additional Financing for the Second Rural Enterprise Support Project,Republic of Uzbekistan
1432,10,Rural development,Additional Financing for the Second Rural Enterprise Support Project,Republic of Uzbekistan
1433,2,Public sector governance,Punjab Land Records Management and Information Systems Project - Additional Financing,Islamic Republic of Pakistan
1434,3,Rule of law,Punjab Land Records Management and Information Systems Project - Additional Financing,Islamic Republic of Pakistan
1435,11,Environment and natural resources management,Punjab Land Records Management and Information Systems Project - Additional Financing,Islamic Republic of Pakistan
1436,7,Social dev/gender/inclusion,Strengthening the resilience capacity of Maya indigenous peoples and peasants to cope with food insecurity and CC in GT dry-corridor,Republic of Guatemala
1437,1,,Strengthening the resilience capacity of Maya indigenous peoples and peasants to cope with food insecurity and CC in GT dry-corridor,Republic of Guatemala
1438,2,Public sector governance,Zambia - Extractive Industries Transparency Initiative Implementation Post Compliance I,Republic of Zambia
1439,11,,Zambia - Extractive Industries Transparency Initiative Implementation Post Compliance I,Republic of Zambia
1440,8,Human development,India: ICDS Systems Strengthening & Nutrition Improvement Program (ISSNIP),Republic of India
1441,7,Social dev/gender/inclusion,India: ICDS Systems Strengthening & Nutrition Improvement Program (ISSNIP),Republic of India
1442,7,Social dev/gender/inclusion,India: ICDS Systems Strengthening & Nutrition Improvement Program (ISSNIP),Republic of India
1443,8,Human development,India: ICDS Systems Strengthening & Nutrition Improvement Program (ISSNIP),Republic of India
1444,10,Rural development,Karnataka Watershed Development II,Republic of India
1445,11,Environment and natural resources management,Karnataka Watershed Development II,Republic of India
1446,11,Environment and natural resources management,Karnataka Watershed Development II,Republic of India
1447,10,Rural development,Karnataka Watershed Development II,Republic of India
1448,11,Environment and natural resources management,IN: Development Policy Loan (DPL) to Promote Inclusive Green Growth and Sustainable Development in Himachal Pradesh,Republic of India
1449,11,Environment and natural resources management,IN: Development Policy Loan (DPL) to Promote Inclusive Green Growth and Sustainable Development in Himachal Pradesh,Republic of India
1450,10,Rural development,IN: Development Policy Loan (DPL) to Promote Inclusive Green Growth and Sustainable Development in Himachal Pradesh,Republic of India
1451,11,Environment and natural resources management,IN: Development Policy Loan (DPL) to Promote Inclusive Green Growth and Sustainable Development in Himachal Pradesh,Republic of India
1452,10,Rural development,Multi Donor Facility - PH Mindanao Reconstruction & Development,Republic of the Philippines
1453,4,Financial and private sector development,Multi Donor Facility - PH Mindanao Reconstruction & Development,Republic of the Philippines
1454,7,Social dev/gender/inclusion,Multi Donor Facility - PH Mindanao Reconstruction & Development,Republic of the Philippines
1455,10,Rural development,Multi Donor Facility - PH Mindanao Reconstruction & Development,Republic of the Philippines
1456,8,Human development,Capacity Builiding for Emerging Infectious Disease Preparedness,Mongolia
1457,4,,Capacity Builiding for Emerging Infectious Disease Preparedness,Mongolia
1458,2,Public sector governance,5M: Displaced People in Jordan / Lebanon,Middle East and North Africa
1459,6,Social protection and risk management,5M: Displaced People in Jordan / Lebanon,Middle East and North Africa
1460,6,Social protection and risk management,5M: Displaced People in Jordan / Lebanon,Middle East and North Africa
1461,6,Social protection and risk management,5M: Displaced People in Jordan / Lebanon,Middle East and North Africa
1462,11,Environment and natural resources management,Sustainable Production Systems and Biodiversity,United Mexican States
1463,10,Rural development,Sustainable Production Systems and Biodiversity,United Mexican States
1464,10,Rural development,Sustainable Production Systems and Biodiversity,United Mexican States
1465,11,Environment and natural resources management,Sustainable Production Systems and Biodiversity,United Mexican States
1466,8,Human development,RIO STATE DEVELOPMENT POLICY LOAN III,Federative Republic of Brazil
1467,2,Public sector governance,RIO STATE DEVELOPMENT POLICY LOAN III,Federative Republic of Brazil
1468,2,Public sector governance,RIO STATE DEVELOPMENT POLICY LOAN III,Federative Republic of Brazil
1469,8,Human development,RIO STATE DEVELOPMENT POLICY LOAN III,Federative Republic of Brazil
1470,9,Urban development,Papua New Guinea Settlement Upgrading Programme,The Independent State of Papua New Guine
1471,6,Social protection and risk management,Papua New Guinea Settlement Upgrading Programme,The Independent State of Papua New Guine
1472,6,Social protection and risk management,Papua New Guinea Settlement Upgrading Programme,The Independent State of Papua New Guine
1473,9,Urban development,Papua New Guinea Settlement Upgrading Programme,The Independent State of Papua New Guine
1474,2,Public sector governance,Nepal PFM-MDTF Strengthening Civil Society Organizations' use of Social Accountability to improve PFM in Nepal,Nepal
1475,2,Public sector governance,Nepal PFM-MDTF Strengthening Civil Society Organizations' use of Social Accountability to improve PFM in Nepal,Nepal
1476,10,Rural development,Water Supply and Sanitation Improvements for West Bethlehem Villages,West Bank and Gaza
1477,11,,Water Supply and Sanitation Improvements for West Bethlehem Villages,West Bank and Gaza
1478,8,Human development,Pakistan: Promoting Girls' Education in Balochistan (PGEB),Islamic Republic of Pakistan
1479,7,Social dev/gender/inclusion,Pakistan: Promoting Girls' Education in Balochistan (PGEB),Islamic Republic of Pakistan
1480,11,Environment and natural resources management,Revision and Alignment of NAP with UNCCD 10-year Strategic Plan and Framework,People's Republic of Bangladesh
1481,5,,Revision and Alignment of NAP with UNCCD 10-year Strategic Plan and Framework,People's Republic of Bangladesh
1482,6,Social protection and risk management,Nepal: Pilot Project for Seismic School Safety in the kathmandu,Nepal
1483,8,,Nepal: Pilot Project for Seismic School Safety in the kathmandu,Nepal
1484,4,Financial and private sector development,Technological Scale Up for Youth-led Urban Ornamental Aquaculture,Jamaica
1485,7,Social dev/gender/inclusion,Technological Scale Up for Youth-led Urban Ornamental Aquaculture,Jamaica
1486,8,Human development,Lao Eight Poverty Reduction Support,Lao People's Democratic Republic
1487,5,Trade and integration,Lao Eight Poverty Reduction Support,Lao People's Democratic Republic
1488,2,Public sector governance,Lao Eight Poverty Reduction Support,Lao People's Democratic Republic
1489,8,Human development,Lao Eight Poverty Reduction Support,Lao People's Democratic Republic
1490,10,Rural development,Second Emergency Agricultural Productivity Support Project,Republic of Guinea
1491,6,,Second Emergency Agricultural Productivity Support Project,Republic of Guinea
1492,10,Rural development,Sustainable Management of Agricultural Research and Technology Dissemination (SMARTD),Republic of Indonesia
1493,10,Rural development,Sustainable Management of Agricultural Research and Technology Dissemination (SMARTD),Republic of Indonesia
1494,10,Rural development,Sustainable Management of Agricultural Research and Technology Dissemination (SMARTD),Republic of Indonesia
1495,9,Urban development,KENYA: NATIONAL URBAN TRANSPORT IMPROVEMENT PROJECT,Republic of Kenya
1496,8,Human development,KENYA: NATIONAL URBAN TRANSPORT IMPROVEMENT PROJECT,Republic of Kenya
1497,5,Trade and integration,KENYA: NATIONAL URBAN TRANSPORT IMPROVEMENT PROJECT,Republic of Kenya
1498,4,Financial and private sector development,KENYA: NATIONAL URBAN TRANSPORT IMPROVEMENT PROJECT,Republic of Kenya
